"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2017-06-30",185.149994,186.190002,184.929993,185.419998,2392000,173.863434
"2017-07-03",186.289993,187.529999,185.740005,186.649994,2087000,175.016785
"2017-07-05",186.139999,188.360001,185.720001,188.25,2587400,176.517075
"2017-07-06",188.119995,188.190002,186.149994,186.940002,1844700,175.288727
"2017-07-07",187.350006,188.429993,187.009995,187.960007,2252500,176.245148
"2017-07-10",187.330002,188,186.149994,186.949997,2612000,175.298126
"2017-07-11",187,187.660004,185.089996,185.949997,2664500,174.360397
"2017-07-12",186.789993,187.300003,186.410004,186.690002,3342800,175.054291
"2017-07-13",187,187.279999,185.320007,185.479996,2379300,173.919708
"2017-07-14",185.809998,187.130005,184.770004,186.899994,2716700,175.25119
"2017-07-17",187.070007,187.25,185.759995,186.350006,2444600,174.735458
"2017-07-18",186.949997,187.199997,183.860001,186.850006,4235800,175.204315
"2017-07-19",187.509995,189.410004,187.509995,189.190002,3401600,177.398453
"2017-07-20",189.410004,191.919998,188.919998,191.5,3099600,179.564499
"2017-07-21",191.380005,193,190.600006,191.779999,4911500,179.827026
"2017-07-24",191.789993,192.169998,190.639999,190.889999,2356500,178.992508
"2017-07-25",192.130005,192.479996,190.300003,190.399994,1960100,178.533066
"2017-07-26",190.020004,191.529999,189.380005,190.75,2683500,178.861252
"2017-07-27",190.240005,190.490005,188.460007,188.929993,2631400,177.154663
"2017-07-28",189.110001,191.240005,187.600006,191.149994,1925000,179.236343
"2017-07-31",191.589996,192.610001,191.139999,191.809998,3767100,179.855164
"2017-08-01",193.399994,193.399994,191.619995,192.229996,3336800,180.249008
"2017-08-02",192.139999,193.449997,192.139999,193,2463800,180.970993
"2017-08-03",193.259995,194.960007,193.009995,194.770004,2886100,182.630707
"2017-08-04",194.949997,196.039993,194.600006,194.880005,2892300,182.733841
"2017-08-07",194.809998,195.410004,193.899994,194.779999,2074800,182.64006
"2017-08-08",194.679993,194.990005,194.080002,194.899994,1741000,182.752548
"2017-08-09",194.899994,195.360001,194.169998,194.830002,2125900,182.686935
"2017-08-10",194.259995,194.389999,192.399994,192.570007,2698600,180.567825
